50000	239	84
70000	90	65
90000	104	50
110000	59	37
130000	78	44
150000	75	48
170000	137	74
190000	93	48
210000	101	54
230000	107	82
250000	136	65
270000	133	81
290000	134	76
310000	166	118
330000	161	85
350000	161	89
370000	170	96
390000	180	109
410000	190	104
430000	207	109
50000	22	14
70000	32	19
90000	41	25
110000	52	30
130000	59	43
150000	69	40
170000	78	43
190000	89	47
210000	97	57
230000	107	58
250000	117	63
270000	125	74
290000	133	76
310000	142	87
330000	151	85
350000	161	96
370000	170	95
390000	203	98
410000	188	104
430000	206	108
50000	23	12
70000	32	17
90000	41	23
110000	51	31
130000	59	33
150000	69	38
170000	78	43
190000	88	53
210000	96	54
230000	108	58
250000	119	64
270000	137	69
290000	135	84
310000	148	79
330000	157	90
350000	161	90
370000	172	94
390000	185	100
410000	195	108
430000	202	117
50000	22	13
70000	31	18
90000	41	23
110000	53	30
130000	60	33
150000	72	39
170000	78	44
190000	92	48
210000	101	54
230000	107	58
250000	114	68
270000	125	69
290000	133	80
310000	142	79
330000	157	84
350000	161	96
370000	170	95
390000	179	107
410000	188	104
430000	207	109
50000	22	12
70000	31	18
90000	41	23
110000	53	37
130000	59	33
150000	69	39
170000	77	43
190000	90	48
210000	98	53
230000	106	58
250000	114	68
270000	125	69
290000	133	76
310000	144	80
330000	153	91
350000	162	89
370000	176	95
390000	179	108
410000	189	104
430000	206	109
50000	22	13
70000	32	17
90000	40	23
110000	50	28
130000	62	32
150000	68	40
170000	78	45
190000	88	48
210000	101	54
230000	107	58
250000	115	67
270000	126	68
290000	133	75
310000	142	80
330000	151	91
350000	161	90
370000	178	95
390000	180	107
410000	189	106
430000	206	108
50000	22	13
70000	32	17
90000	40	22
110000	54	27
130000	60	33
150000	69	39
170000	78	43
190000	93	48
210000	97	54
230000	107	58
250000	120	63
270000	126	68
290000	138	74
310000	142	86
330000	152	85
350000	162	97
370000	171	95
390000	186	101
410000	189	113
430000	200	110
50000	23	12
70000	32	17
90000	41	23
110000	61	27
130000	60	33
150000	73	40
170000	78	43
190000	90	51
210000	97	53
230000	106	59
250000	115	67
270000	124	68
290000	133	80
310000	142	79
330000	160	90
350000	161	89
370000	170	101
390000	179	99
410000	194	104
430000	198	109
50000	24	12
70000	32	17
90000	41	22
110000	51	27
130000	60	33
150000	69	39
170000	81	44
190000	89	48
210000	96	54
230000	111	58
250000	115	63
270000	125	73
290000	133	75
310000	142	85
330000	151	85
350000	167	90
370000	170	94
390000	183	100
410000	191	105
430000	199	115
50000	23	12
70000	32	18
90000	41	23
110000	52	28
130000	60	33
150000	72	39
170000	78	43
190000	88	49
210000	101	53
230000	106	59
250000	115	68
270000	126	69
290000	138	75
310000	143	86
330000	151	86
350000	168	90
370000	170	95
390000	187	99
410000	188	114
430000	202	109
50000	22	17
70000	42	18
90000	41	22
110000	51	28
130000	59	33
150000	69	38
170000	78	47
190000	88	48
210000	96	53
230000	106	58
250000	119	63
270000	126	69
290000	139	76
310000	142	80
330000	157	85
350000	161	96
370000	170	95
390000	180	107
410000	189	106
430000	207	108
50000	23	12
70000	32	17
90000	40	23
110000	50	30
130000	60	33
150000	69	39
170000	78	43
190000	89	52
210000	96	53
230000	107	58
250000	114	68
270000	126	68
290000	133	81
310000	143	79
330000	156	84
350000	161	89
370000	176	95
390000	179	100
410000	190	105
430000	199	117
50000	23	12
70000	31	18
90000	41	22
110000	50	28
130000	71	33
150000	72	39
170000	78	42
190000	88	48
210000	96	57
230000	107	58
250000	115	63
270000	130	69
290000	133	75
310000	147	81
330000	151	91
350000	161	90
370000	170	101
390000	180	100
410000	196	104
430000	199	116
50000	22	13
70000	32	17
90000	40	23
110000	50	28
130000	59	33
150000	69	43
170000	78	43
190000	88	48
210000	96	53
230000	110	58
250000	115	63
270000	124	68
290000	144	74
310000	144	79
330000	157	84
350000	161	96
370000	170	95
390000	179	106
410000	189	104
430000	205	109
50000	22	13
70000	31	18
90000	41	22
110000	50	28
130000	61	33
150000	69	38
170000	77	43
190000	89	48
210000	100	53
230000	106	58
250000	118	65
270000	130	68
290000	136	75
310000	148	81
330000	151	86
350000	163	89
370000	170	101
390000	180	99
410000	188	104
430000	207	109
50000	22	13
70000	32	17
90000	44	22
110000	52	28
130000	60	33
150000	68	40
170000	81	43
190000	89	49
210000	100	54
230000	107	58
250000	120	63
270000	126	74
290000	133	74
310000	148	80
330000	152	84
350000	167	89
370000	170	100
390000	180	99
410000	198	104
430000	199	133
50000	23	12
70000	32	17
90000	41	23
110000	50	28
130000	60	33
150000	68	39
170000	81	43
190000	88	48
210000	96	54
230000	106	63
250000	115	63
270000	126	68
290000	139	75
310000	142	80
330000	156	85
350000	162	89
370000	176	95
390000	179	100
410000	192	103
430000	200	117
50000	22	13
70000	31	18
90000	41	23
110000	51	27
130000	59	36
150000	69	39
170000	78	43
190000	88	48
210000	103	53
230000	111	58
250000	116	68
270000	125	68
290000	133	80
310000	143	80
330000	158	84
350000	161	90
370000	172	95
390000	180	107
410000	188	112
430000	199	109
50000	23	12
70000	32	17
90000	44	22
110000	51	28
130000	60	32
150000	69	39
170000	78	47
190000	89	48
210000	97	53
230000	106	63
250000	115	63
270000	126	75
290000	133	74
310000	147	79
330000	151	85
350000	168	90
370000	171	101
390000	180	101
410000	195	104
430000	198	115
50000	30	12
70000	32	17
90000	41	22
110000	50	28
130000	59	33
150000	69	40
170000	83	43
190000	89	48
210000	96	53
230000	111	58
250000	115	63
270000	127	73
290000	134	74
310000	142	85
330000	151	84
350000	161	97
370000	171	94
390000	186	100
410000	188	105
430000	204	109
50000	22	12
70000	32	17
90000	41	22
110000	54	28
130000	62	33
150000	69	39
170000	79	42
190000	90	53
210000	96	53
230000	106	58
250000	119	64
270000	126	68
290000	133	81
310000	143	80
330000	157	85
350000	161	96
370000	171	94
390000	180	107
410000	189	105
430000	207	108
50000	22	13
70000	31	18
90000	41	23
110000	50	28
130000	63	32
150000	69	39
170000	78	43
190000	88	48
210000	97	53
230000	106	58
250000	114	68
270000	126	69
290000	133	80
310000	144	81
330000	152	91
350000	162	89
370000	177	95
390000	179	107
410000	188	104
430000	206	108
50000	23	12
70000	32	17
90000	41	23
110000	51	29
130000	60	36
150000	69	39
170000	77	43
190000	88	48
210000	100	54
230000	106	58
250000	114	63
270000	130	68
290000	133	75
310000	148	80
330000	151	84
350000	167	89
370000	170	101
390000	180	101
410000	195	107
430000	199	117
50000	22	13
70000	32	17
90000	41	22
110000	52	28
130000	60	33
150000	68	38
170000	81	43
190000	89	48
210000	97	53
230000	111	58
250000	115	64
270000	127	73
290000	134	75
310000	143	86
330000	151	85
350000	161	95
370000	170	95
390000	186	99
410000	189	104
430000	200	109
50000	23	12
70000	32	17
90000	40	23
110000	55	28
130000	60	33
150000	69	39
170000	78	43
190000	92	48
210000	96	54
230000	106	58
250000	120	64
270000	125	68
290000	138	75
310000	142	80
330000	153	85
350000	169	89
370000	170	101
390000	180	100
410000	195	104
430000	198	117
50000	22	13
70000	31	18
90000	41	22
110000	51	28
130000	60	32
150000	69	48
170000	78	43
190000	88	48
210000	97	53
230000	110	59
250000	115	63
270000	126	68
290000	139	75
310000	142	80
330000	158	84
350000	161	89
370000	174	96
390000	181	107
410000	189	105
430000	207	109
50000	22	13
70000	32	17
90000	40	23
110000	50	28
130000	62	33
150000	69	39
170000	78	43
190000	88	48
210000	102	53
230000	107	58
250000	115	68
270000	126	68
290000	133	81
310000	142	80
330000	152	89
350000	161	89
370000	173	95
390000	185	100
410000	192	112
430000	201	108
50000	23	12
70000	32	17
90000	43	22
110000	52	27
130000	59	33
150000	69	39
170000	78	46
190000	88	48
210000	96	54
230000	106	64
250000	115	63
270000	125	73
290000	133	73
310000	143	85
330000	151	84
350000	167	90
370000	170	94
390000	194	99
410000	188	115
430000	200	108
50000	23	12
70000	32	17
90000	41	23
110000	53	28
130000	60	32
150000	68	39
170000	78	43
190000	89	52
210000	96	53
230000	107	58
250000	115	67
270000	124	69
290000	133	79
310000	143	78
330000	154	90
350000	161	90
370000	183	95
390000	180	106
410000	188	105
430000	205	109
50000	22	12
70000	32	17
90000	40	23
110000	51	28
130000	59	33
150000	71	40
170000	78	43
190000	88	48
210000	96	59
230000	107	59
250000	114	63
270000	130	68
290000	134	75
310000	142	86
330000	156	85
350000	168	90
370000	170	95
390000	187	100
410000	189	112
430000	205	111
50000	22	13
70000	31	18
90000	43	22
110000	51	27
130000	59	33
150000	69	38
170000	77	43
190000	92	48
210000	96	54
230000	106	58
250000	116	64
270000	125	68
290000	138	75
310000	142	79
330000	156	84
350000	162	95
370000	170	95
390000	187	100
410000	191	112
430000	200	109
50000	22	13
70000	31	18
90000	41	23
110000	55	27
130000	60	32
150000	70	39
170000	79	42
190000	89	52
210000	97	53
230000	107	59
250000	117	63
270000	127	68
290000	134	80
310000	142	80
330000	151	90
350000	161	89
370000	176	94
390000	180	106
410000	188	105
430000	205	109
50000	23	12
70000	32	17
90000	41	22
110000	51	28
130000	59	36
150000	69	39
170000	78	43
190000	88	48
210000	96	58
230000	106	58
250000	114	63
270000	134	68
290000	134	73
310000	149	85
330000	152	84
350000	167	90
370000	170	94
390000	190	100
410000	188	111
430000	199	110
50000	23	12
70000	31	17
90000	41	22
110000	54	28
130000	59	34
150000	68	38
170000	78	43
190000	91	47
210000	96	54
230000	106	58
250000	119	63
270000	124	68
290000	138	75
310000	142	80
330000	157	83
350000	161	95
370000	170	94
390000	186	100
410000	188	105
430000	204	109
50000	23	12
70000	32	18
90000	40	23
110000	54	28
130000	59	33
150000	69	39
170000	78	43
190000	89	49
210000	98	53
230000	107	58
250000	119	64
270000	125	68
290000	138	75
310000	142	80
330000	156	84
350000	161	93
370000	170	100
390000	179	100
410000	195	106
430000	200	117
50000	22	12
70000	32	18
90000	41	22
110000	50	28
130000	59	33
150000	69	39
170000	84	43
190000	89	48
210000	97	53
230000	111	57
250000	115	63
270000	125	68
290000	138	74
310000	142	80
330000	155	84
350000	161	96
370000	169	95
390000	186	100
410000	188	111
430000	199	109
50000	22	12
70000	31	17
90000	40	25
110000	51	28
130000	59	33
150000	69	39
170000	78	43
190000	92	48
210000	96	53
230000	106	62
250000	115	64
270000	126	68
290000	138	75
310000	142	85
330000	151	84
350000	163	96
370000	170	95
390000	186	99
410000	188	104
430000	207	108
50000	22	13
70000	31	18
90000	48	23
110000	51	30
130000	60	32
150000	69	38
170000	77	43
190000	87	48
210000	101	53
230000	107	58
250000	116	68
270000	125	69
290000	132	74
310000	147	80
330000	152	90
350000	161	89
370000	170	100
390000	180	104
410000	215	107
430000	199	117
50000	22	13
70000	31	18
90000	42	22
110000	51	28
130000	61	33
150000	69	39
170000	81	43
190000	88	47
210000	97	54
230000	106	63
250000	115	63
270000	125	68
290000	141	86
310000	143	79
330000	157	84
350000	161	95
370000	171	94
390000	180	107
410000	188	106
430000	207	109
50000	23	12
70000	32	18
90000	41	23
110000	52	28
130000	62	33
150000	69	39
170000	79	43
190000	89	48
210000	101	53
230000	105	58
250000	114	63
270000	127	69
290000	133	74
310000	148	80
330000	152	87
350000	163	89
370000	170	101
390000	180	106
410000	190	105
430000	208	108
