Prueba 1
N	basico	eficiente
230000	0.109	0.059
250000	0.115	0.068
270000	0.128	0.068
290000	0.135	0.081
310000	0.144	0.08
330000	0.158	0.085
350000	0.162	0.09
370000	0.178	0.097
390000	0.181	0.103
410000	0.192	0.108
430000	0.202	0.118
Prueba 15
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.018
90000	0.041	0.023
110000	0.052	0.028
130000	0.06	0.033
150000	0.073	0.041
170000	0.078	0.043
190000	0.089	0.048
210000	0.097	0.057
230000	0.107	0.059
250000	0.115	0.063
270000	0.13	0.068
290000	0.134	0.081
310000	0.148	0.08
330000	0.152	0.091
350000	0.162	0.092
370000	0.171	0.104
390000	0.181	0.103
410000	0.197	0.107
430000	0.203	0.117
Prueba 16
N	basico	eficiente
50000	0.025	0.012
70000	0.032	0.018
90000	0.041	0.023
110000	0.052	0.027
130000	0.06	0.033
150000	0.069	0.04
170000	0.082	0.043
190000	0.09	0.048
210000	0.097	0.054
230000	0.109	0.063
250000	0.115	0.063
270000	0.126	0.069
290000	0.141	0.076
310000	0.143	0.081
330000	0.158	0.087
350000	0.162	0.092
370000	0.177	0.097
390000	0.181	0.101
410000	0.192	0.105
430000	0.202	0.109
Prueba 17
N	basico	eficiente
50000	0.022	0.013
70000	0.031	0.018
90000	0.041	0.023
110000	0.05	0.029
130000	0.06	0.036
150000	0.069	0.039
170000	0.079	0.043
190000	0.089	0.048
210000	0.101	0.053
230000	0.107	0.058
250000	0.116	0.068
270000	0.126	0.069
290000	0.139	0.077
310000	0.143	0.082
330000	0.158	0.087
350000	0.162	0.095
370000	0.171	0.103
390000	0.181	0.1
410000	0.197	0.104
430000	0.2	0.117
Prueba 18
N	basico	eficiente
50000	0.023	0.012
70000	0.032	0.018
90000	0.041	0.022
110000	0.052	0.029
130000	0.06	0.033
150000	0.069	0.045
170000	0.078	0.043
190000	0.09	0.048
210000	0.097	0.053
230000	0.114	0.058
250000	0.115	0.063
270000	0.126	0.077
290000	0.134	0.077
310000	0.144	0.083
330000	0.158	0.089
350000	0.163	0.093
370000	0.177	0.096
390000	0.181	0.108
410000	0.19	0.105
430000	0.206	0.109
Prueba 19
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.017
90000	0.041	0.023
110000	0.051	0.029
130000	0.06	0.036
150000	0.069	0.038
170000	0.079	0.042
190000	0.09	0.048
210000	0.101	0.053
230000	0.108	0.058
250000	0.116	0.068
270000	0.128	0.068
290000	0.134	0.074
310000	0.146	0.083
330000	0.152	0.095
350000	0.162	0.092
370000	0.171	0.101
390000	0.18	0.101
410000	0.197	0.107
430000	0.203	0.109
Prueba 20
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.018
90000	0.041	0.023
110000	0.053	0.028
130000	0.064	0.033
150000	0.07	0.04
170000	0.078	0.043
190000	0.09	0.051
210000	0.097	0.054
230000	0.109	0.058
250000	0.12	0.064
270000	0.129	0.073
290000	0.134	0.075
310000	0.148	0.081
330000	0.153	0.086
350000	0.168	0.091
370000	0.171	0.103
390000	0.182	0.101
410000	0.21	0.103
430000	0.2	0.109
Prueba 21
N	basico	eficiente
50000	0.023	0.012
70000	0.034	0.017
90000	0.041	0.023
110000	0.053	0.028
130000	0.06	0.033
150000	0.069	0.04
170000	0.079	0.046
190000	0.092	0.048
210000	0.098	0.053
230000	0.11	0.064
250000	0.116	0.063
270000	0.126	0.073
290000	0.134	0.074
310000	0.143	0.087
330000	0.153	0.086
350000	0.162	0.099
370000	0.171	0.096
390000	0.187	0.101
410000	0.19	0.108
430000	0.204	0.109
Prueba 22
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.017
90000	0.042	0.022
110000	0.054	0.027
130000	0.06	0.033
150000	0.069	0.04
170000	0.079	0.043
190000	0.092	0.047
210000	0.098	0.053
230000	0.121	0.058
250000	0.121	0.063
270000	0.129	0.069
290000	0.139	0.078
310000	0.143	0.082
330000	0.158	0.086
350000	0.162	0.1
370000	0.171	0.096
390000	0.187	0.1
410000	0.19	0.111
430000	0.203	0.109
Prueba 23
N	basico	eficiente
50000	0.023	0.012
70000	0.032	0.018
90000	0.043	0.023
110000	0.052	0.028
130000	0.06	0.033
150000	0.07	0.04
170000	0.079	0.047
190000	0.092	0.048
210000	0.097	0.053
230000	0.113	0.063
250000	0.115	0.063
270000	0.133	0.073
290000	0.133	0.077
310000	0.144	0.09
330000	0.153	0.087
350000	0.167	0.092
370000	0.171	0.097
390000	0.187	0.101
410000	0.189	0.115
430000	0.2	0.109
Prueba 24
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.017
90000	0.041	0.023
110000	0.054	0.029
130000	0.06	0.033
150000	0.069	0.04
170000	0.079	0.042
190000	0.095	0.048
210000	0.097	0.053
230000	0.11	0.058
250000	0.12	0.063
270000	0.129	0.068
290000	0.139	0.078
310000	0.144	0.083
330000	0.158	0.088
350000	0.162	0.099
370000	0.171	0.096
390000	0.18	0.102
410000	0.19	0.104
430000	0.207	0.109
Prueba 25
N	basico	eficiente
50000	0.022	0.012
70000	0.032	0.017
90000	0.041	0.022
110000	0.054	0.028
130000	0.06	0.032
150000	0.07	0.04
170000	0.079	0.043
190000	0.094	0.048
210000	0.098	0.054
230000	0.109	0.058
250000	0.117	0.063
270000	0.128	0.068
290000	0.139	0.078
310000	0.144	0.09
330000	0.152	0.088
350000	0.169	0.093
370000	0.172	0.104
390000	0.181	0.101
410000	0.189	0.112
430000	0.202	0.109
Prueba 26
N	basico	eficiente
50000	0.023	0.014
70000	0.032	0.018
90000	0.041	0.023
110000	0.053	0.029
130000	0.06	0.033
150000	0.069	0.04
170000	0.083	0.043
190000	0.093	0.048
210000	0.098	0.053
230000	0.114	0.058
250000	0.115	0.063
270000	0.13	0.069
290000	0.134	0.076
310000	0.149	0.081
330000	0.153	0.093
350000	0.162	0.093
370000	0.175	0.096
390000	0.181	0.101
410000	0.196	0.104
430000	0.198	0.117
Prueba 27
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.017
90000	0.041	0.022
110000	0.05	0.029
130000	0.06	0.032
150000	0.07	0.046
170000	0.078	0.043
190000	0.092	0.048
210000	0.097	0.053
230000	0.116	0.058
250000	0.116	0.063
270000	0.13	0.074
290000	0.134	0.075
310000	0.143	0.088
330000	0.152	0.086
350000	0.162	0.097
370000	0.171	0.096
390000	0.188	0.1
410000	0.189	0.106
430000	0.209	0.109
Prueba 28
N	basico	eficiente
50000	0.023	0.012
70000	0.032	0.018
90000	0.041	0.023
110000	0.051	0.03
130000	0.063	0.033
150000	0.07	0.041
170000	0.078	0.043
190000	0.091	0.048
210000	0.098	0.054
230000	0.11	0.058
250000	0.116	0.068
270000	0.129	0.068
290000	0.134	0.083
310000	0.144	0.083
330000	0.152	0.094
350000	0.162	0.093
370000	0.178	0.097
390000	0.181	0.109
410000	0.19	0.106
430000	0.207	0.109
Prueba 29
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.017
90000	0.041	0.022
110000	0.052	0.028
130000	0.063	0.032
150000	0.07	0.04
170000	0.078	0.043
190000	0.089	0.048
210000	0.103	0.053
230000	0.109	0.058
250000	0.115	0.064
270000	0.132	0.068
290000	0.134	0.078
310000	0.148	0.083
330000	0.152	0.089
350000	0.165	0.092
370000	0.175	0.096
390000	0.18	0.107
410000	0.189	0.105
430000	0.207	0.11
Prueba 30
N	basico	eficiente
50000	0.022	0.012
70000	0.032	0.018
90000	0.041	0.023
110000	0.055	0.028
130000	0.059	0.032
150000	0.07	0.039
170000	0.078	0.043
190000	0.095	0.048
210000	0.097	0.054
230000	0.109	0.062
250000	0.116	0.063
270000	0.126	0.073
290000	0.134	0.076
310000	0.143	0.088
330000	0.153	0.086
350000	0.168	0.092
370000	0.172	0.096
390000	0.185	0.101
410000	0.189	0.126
430000	0.201	0.109
Prueba 31
N	basico	eficiente
50000	0.022	0.012
70000	0.032	0.017
90000	0.045	0.022
110000	0.054	0.028
130000	0.061	0.032
150000	0.07	0.041
170000	0.079	0.043
190000	0.093	0.048
210000	0.097	0.053
230000	0.109	0.062
250000	0.115	0.064
270000	0.127	0.068
290000	0.138	0.078
310000	0.143	0.082
330000	0.152	0.086
350000	0.162	0.099
370000	0.171	0.106
390000	0.181	0.103
410000	0.196	0.107
430000	0.202	0.117
Prueba 32
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.017
90000	0.042	0.023
110000	0.052	0.029
130000	0.06	0.033
150000	0.069	0.04
170000	0.085	0.043
190000	0.09	0.047
210000	0.097	0.054
230000	0.107	0.063
250000	0.115	0.063
270000	0.128	0.068
290000	0.14	0.076
310000	0.143	0.082
330000	0.158	0.088
350000	0.163	0.09
370000	0.177	0.096
390000	0.18	0.107
410000	0.189	0.108
430000	0.202	0.117
Prueba 33
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.017
90000	0.041	0.022
110000	0.052	0.03
