50000	289	85
70000	149	60
90000	64	71
110000	101	36
130000	67	44
150000	59	56
170000	70	68
190000	88	47
210000	83	51
230000	89	74
250000	123	61
270000	102	73
290000	112	71
310000	125	116
330000	149	84
350000	132	91
370000	146	97
390000	147	101
410000	154	103
430000	163	121
50000	18	13
70000	26	19
90000	34	24
110000	42	32
130000	50	33
150000	56	40
170000	65	41
190000	71	47
210000	80	52
230000	97	57
250000	95	61
270000	102	71
290000	110	71
310000	117	76
330000	132	82
350000	132	89
370000	147	92
390000	147	97
410000	154	104
430000	163	115
50000	18	12
70000	26	17
90000	34	23
110000	41	27
130000	49	32
150000	60	37
170000	65	42
190000	71	47
210000	79	69
230000	88	57
250000	101	63
270000	102	72
290000	114	72
310000	117	83
330000	125	86
350000	132	98
370000	140	96
390000	147	108
410000	154	105
430000	170	110
50000	19	12
70000	26	17
90000	34	22
110000	41	28
130000	51	35
150000	56	37
170000	70	41
190000	72	46
210000	82	58
230000	86	56
250000	100	62
270000	107	66
290000	111	71
310000	117	82
330000	124	82
350000	137	104
370000	139	94
390000	147	104
410000	155	102
430000	170	114
50000	18	12
70000	27	17
90000	34	21
110000	41	27
130000	55	31
150000	56	37
170000	70	41
190000	72	47
210000	86	53
230000	86	57
250000	99	61
270000	106	66
290000	116	71
310000	116	84
330000	125	90
350000	135	96
370000	139	95
390000	146	103
410000	155	105
430000	171	110
50000	18	12
70000	26	18
90000	33	21
110000	41	28
130000	55	32
150000	56	37
170000	70	41
190000	71	47
210000	88	52
230000	86	57
250000	100	61
270000	107	66
290000	114	71
310000	123	78
330000	125	90
350000	137	87
370000	140	96
390000	154	99
410000	155	111
430000	162	109
50000	19	12
70000	26	17
90000	34	24
110000	41	29
130000	49	31
150000	56	37
170000	68	42
190000	72	51
210000	84	51
230000	86	56
250000	106	62
270000	101	66
290000	114	76
310000	117	76
330000	127	81
350000	136	91
370000	139	102
390000	146	101
410000	154	115
430000	162	110
50000	18	11
70000	26	18
90000	33	22
110000	41	28
130000	51	31
150000	57	36
170000	69	41
190000	75	47
210000	84	52
230000	86	56
250000	103	61
270000	102	66
290000	114	76
310000	117	76
330000	128	86
350000	131	90
370000	140	108
390000	146	99
410000	161	112
430000	162	110
50000	19	12
70000	27	18
90000	33	22
110000	41	29
130000	50	32
150000	56	37
170000	68	45
190000	72	46
210000	79	62
230000	87	56
250000	103	61
270000	101	67
290000	114	76
310000	117	80
330000	148	87
350000	132	90
370000	140	101
390000	147	106
410000	162	104
430000	163	113
50000	19	14
70000	27	17
90000	34	22
110000	41	27
130000	49	31
150000	57	36
170000	68	42
190000	72	46
210000	79	52
230000	86	62
250000	98	62
270000	102	72
290000	114	71
310000	117	82
330000	125	90
350000	135	100
370000	140	97
390000	146	108
410000	154	106
430000	170	111
50000	18	12
70000	26	17
90000	34	22
110000	41	27
130000	54	32
150000	56	37
170000	68	42
190000	72	46
210000	87	55
230000	86	57
250000	95	61
270000	106	66
290000	110	71
310000	117	82
330000	125	82
350000	132	95
370000	139	92
390000	153	96
410000	155	105
430000	172	109
50000	19	12
70000	26	17
90000	35	22
110000	41	28
130000	53	32
150000	56	37
170000	69	42
190000	72	47
210000	87	53
230000	87	57
250000	100	63
270000	108	66
290000	114	71
310000	122	77
330000	125	89
350000	138	89
370000	140	91
390000	153	97
410000	154	109
430000	161	110
50000	18	12
70000	26	17
90000	34	22
110000	43	29
130000	51	32
150000	56	37
170000	68	41
190000	71	50
210000	82	52
230000	87	56
250000	98	67
270000	102	66
290000	113	72
310000	123	77
330000	124	89
350000	140	89
370000	141	95
390000	154	100
410000	155	112
430000	162	109
50000	18	12
70000	26	17
90000	33	24
110000	40	27
130000	49	31
150000	56	37
170000	64	42
190000	75	47
210000	84	52
230000	86	57
250000	103	62
270000	102	66
290000	116	76
310000	118	76
330000	126	87
350000	132	89
370000	139	101
390000	148	99
410000	162	103
430000	164	110
50000	18	13
70000	26	17
90000	34	22
110000	41	27
130000	51	32
150000	57	37
170000	69	45
190000	72	46
210000	80	55
230000	86	61
250000	98	62
270000	102	66
290000	118	72
310000	117	76
330000	135	80
350000	133	90
370000	147	94
390000	148	106
410000	155	104
430000	162	114
50000	18	12
70000	27	17
90000	34	22
110000	41	26
130000	50	31
150000	59	36
170000	64	42
190000	72	46
210000	79	52
230000	88	57
250000	95	61
270000	102	72
290000	110	71
310000	116	84
330000	125	81
350000	132	101
370000	139	95
390000	147	107
410000	155	104
430000	170	110
50000	18	12
70000	27	17
90000	33	23
110000	41	27
130000	53	34
150000	58	37
170000	69	41
190000	71	47
210000	81	59
230000	86	56
250000	100	62
270000	107	67
290000	113	71
310000	118	83
330000	124	85
350000	132	96
370000	140	95
390000	146	107
410000	155	104
430000	169	110
50000	18	12
70000	26	17
90000	33	22
110000	41	28
130000	50	34
150000	56	37
170000	68	41
190000	72	46
210000	81	58
230000	87	57
250000	100	62
270000	108	66
290000	113	72
310000	117	83
330000	124	90
350000	133	96
370000	139	96
390000	154	99
410000	155	104
430000	170	110
50000	19	12
70000	26	17
90000	33	23
110000	41	31
130000	49	31
150000	57	36
170000	65	42
190000	71	47
210000	82	52
230000	87	56
250000	95	61
270000	106	66
290000	114	71
310000	123	76
330000	124	83
350000	134	95
370000	140	94
390000	154	98
410000	154	112
430000	162	110
50000	18	12
70000	26	16
90000	33	26
110000	41	29
130000	49	32
150000	57	36
170000	68	41
190000	76	47
210000	82	51
230000	87	56
250000	104	61
270000	102	67
290000	113	77
310000	116	76
330000	128	87
350000	132	89
370000	139	104
390000	147	99
410000	161	101
430000	161	114
50000	19	12
70000	26	16
90000	34	22
110000	41	27
130000	52	32
150000	57	36
170000	71	41
190000	71	47
210000	81	55
230000	86	61
250000	99	61
270000	102	66
290000	119	71
